,index,umap1,umap2,cluster,index,title,href,body,keyword1,keyword2,keyword3,keyword4,keyword5
0,0,13.839084,8.9910755,2,0,Smithsonian Science Education Center and Department of Defense Launch ...,https://www.newswire.com/news/smithsonian-science-education-center-and-department-of-defense-launch-21936896,"WASHINGTON, January 23, 2023 (Newswire.com) - The Smithsonian Science Education Center has published Smithsonian Science for Computational Thinking, a set of freely available instructional units ...","('nasa', 0.3406)","('smithsonian', 0.3292)","('science', 0.3076)","('poultry', 0.2525)","('birdwatch', 0.2488)"
1,8,14.300007,9.905348,2,8,"3 winners selected for $10,000 science and literature awards",https://wtop.com/entertainment/2023/01/3-winners-selected-for-10000-science-and-literature-awards/,These deeply engaging works — from stories rooted in science journalism and lived experiences to fictional narratives rich with scientific understanding — demonstrate the many ways in which...,"('nasa', 0.3406)","('smithsonian', 0.3292)","('science', 0.3076)","('poultry', 0.2525)","('birdwatch', 0.2488)"
2,28,14.032332,9.949031,2,28,"3 winners selected for $10,000 science and literature awards",https://abcnews.go.com/Entertainment/wireStory/3-winners-selected-10000-science-literature-awards-96662351,"The Science + Literature program is funded by a 3-year, $525,000 grant from the Sloan Foundation, which over the years has backed such notable books as Kai Birds and Martin J. Sherwins ...","('nasa', 0.3406)","('smithsonian', 0.3292)","('science', 0.3076)","('poultry', 0.2525)","('birdwatch', 0.2488)"
3,30,14.295944,10.172869,2,30,The Real Reason McCarthy Put Santos on the Science Committee,https://www.thedailybeast.com/the-real-reason-kevin-mccarthy-put-george-santos-on-the-science-committee,The Real Reason Kevin McCarthy Put George Santos on the Science Committee The New Abnormal The Real Reason McCarthy Put Santos on the Science Committee THE NEW ABNORMAL New Abnormal podcast...,"('nasa', 0.3406)","('smithsonian', 0.3292)","('science', 0.3076)","('poultry', 0.2525)","('birdwatch', 0.2488)"
4,33,14.318715,9.450875,2,33,PHOTOS: SRCS Conversations in Science - Jamaica Information Service,https://jis.gov.jm/photos-srcs-conversations-in-science/,"The Scientific Research Council (SRC) Young Scientist of the Year 2022, Dr. Peter Nelson, addresses the sixth staging of the Conversations in Science Series, held on January 20 at the Chinese Benevolent Association in St. Andrew, under the theme Celebrating the Positive Value Men in Science Bring to the World, their Families and Communities.","('nasa', 0.3406)","('smithsonian', 0.3292)","('science', 0.3076)","('poultry', 0.2525)","('birdwatch', 0.2488)"
5,41,14.123434,8.936974,2,41,U.S. Air Force Selects Howard University for Science Research ...,https://www.spaceforce.mil/News/Article/3274925/us-air-force-selects-howard-university-for-science-research-partnership/,"In addition to conducting scientific research, undergraduates attend scientific and skill-set seminars on topics including laboratory safety, ethics in science and engineering, job-search and interviewing skills and resume writing. (U.S. Navy photo by John F. Williams/Released)","('nasa', 0.3406)","('smithsonian', 0.3292)","('science', 0.3076)","('poultry', 0.2525)","('birdwatch', 0.2488)"
6,43,14.214352,9.698547,2,43,"ChatGPT lacked depth and insight, say prestigious science journal ...",https://www.zdnet.com/article/chatgpt-lacked-depth-and-insight-say-prestigious-science-journal-editors/,"Barbara Treutlein, left, and Patrick Cahan, guest editors of the prestigious journal Stem Cell Reports, posed questions about computational systems biology to OpenAIs ChatGPT. Sometimes the ...","('nasa', 0.3406)","('smithsonian', 0.3292)","('science', 0.3076)","('poultry', 0.2525)","('birdwatch', 0.2488)"
7,45,13.5242815,9.789657,2,45,Big Garden Birdwatch 2023: How to take part in the RSPBs birdwatching ...,https://inews.co.uk/news/science/big-garden-birdwatch-2023-how-take-part-rspb-birdwatching-weekend-dates-explained-2109904,"Now in its 44rd year, the Big Garden Birdwatch is the UKs largest citizen wildlife science project. The information gathered helps the RSPB not only understand which birds are visiting UK skies ...","('nasa', 0.3406)","('smithsonian', 0.3292)","('science', 0.3076)","('poultry', 0.2525)","('birdwatch', 0.2488)"
8,49,14.018774,8.717572,2,49,Alaska Marine Science Symposium kicks off with goals of cultivating ...,https://www.alaskasnewssource.com/2023/01/24/alaska-marine-science-symposium-kicks-off-with-goals-cultivating-habitat-discussion/,"ANCHORAGE, Alaska (KTUU) - The Alaska Marine Science Symposium is an event where those invested in Alaskas coastal habitats can all gather and discuss pressing issues in their fields. Monday was opening day at the Denaina Center, and the symposium runs all week, ending Friday. Its a really great way to showcase marine science of all ...","('nasa', 0.3406)","('smithsonian', 0.3292)","('science', 0.3076)","('poultry', 0.2525)","('birdwatch', 0.2488)"
9,58,13.899641,9.707463,2,58,52-foot-long Book of the Dead papyrus from ancient Egypt discovered at ...,https://www.livescience.com/ancient-egypt-book-of-the-dead-papyrus-found,"The Book of the Dead is a modern-day name given to a series of texts the Egyptians believed would help the dead navigate the underworld, among other purposes. They were widely used during the New ...","('nasa', 0.3406)","('smithsonian', 0.3292)","('science', 0.3076)","('poultry', 0.2525)","('birdwatch', 0.2488)"
10,65,14.347411,9.200216,2,65,NASA astronaut says science doesnt contradict Christianity | U.S. News,https://www.christianpost.com/news/nasa-astronaut-says-science-doesnt-contradict-christianity.html,"Many of the scientists in the age of science — who we all read about in our textbooks about the laws of physics and chemistry — were believers first. They were theologians first. People like Kepler and Newton and Faraday and Maxwell, and many others.","('nasa', 0.3406)","('smithsonian', 0.3292)","('science', 0.3076)","('poultry', 0.2525)","('birdwatch', 0.2488)"
11,72,14.075637,9.350492,2,72,Christians in Science Perceived As Less Competent By Non-Religious ...,https://churchleaders.com/news/443601-christians-in-science-perceived-as-less-competent-by-non-religious-people-study.html/2,"Christians in Science Perceived As Less Competent By Non-Religious People: Study. By. Dale Chamberlain. -. January 27, 2023. To better understand how this perception of the relative compatibility between faith and science affects the perception of Christians in science, researchers performed a subsequent study involving 799 participants, 520 of ...","('nasa', 0.3406)","('smithsonian', 0.3292)","('science', 0.3076)","('poultry', 0.2525)","('birdwatch', 0.2488)"
12,75,14.011709,8.552542,2,75,Wild Center in Tupper Lake up for USA Todays Best Science Museum,https://www.mynbc5.com/article/wild-center-in-tupper-lake-up-for-usa-todays-best-science-museum/42680233,one of our regions great attractions. in a hot competition. for the title of the nations best science museum. nbc 5s amanda martin- ryan was in tupper lake today.,"('nasa', 0.3406)","('smithsonian', 0.3292)","('science', 0.3076)","('poultry', 0.2525)","('birdwatch', 0.2488)"
13,79,13.645935,9.129361,2,79,2 dozen CPS high schools earn AP Diversity Award,https://www.fox32chicago.com/news/2-dozen-cps-high-schools-earn-ap-science-female-diversity-award,Those schools have earned the 2022 College Boards AP Science Female Diversity Award. SUBSCRIBE TO FOX 32 ON YOUTUBE All locations had a 50 percent or higher enrollment of female students in one ...,"('nasa', 0.3406)","('smithsonian', 0.3292)","('science', 0.3076)","('poultry', 0.2525)","('birdwatch', 0.2488)"
14,81,13.834332,9.297472,2,81,Campus Reform the #1 Source for College News,https://campusreform.org/article?id=21093,A recent article published in the Journal of Chemical Education describes the development of a Feminism and Science course at East Carolina University (ECU) that was offered at the university. The ...,"('nasa', 0.3406)","('smithsonian', 0.3292)","('science', 0.3076)","('poultry', 0.2525)","('birdwatch', 0.2488)"
15,87,13.812311,8.6810665,2,87,Science club visits Infinity Science Center | Local News | meridianstar.com,https://www.meridianstar.com/news/local_news/science-club-visits-infinity-science-center/article_5f1d0b01-06fa-53e8-b9c6-e8287913c98c.html,"Jan 25, 2023. 1 of 2. The Meridian High A-Team Science Club visited the Infinity Science Center in Pearlington. Twenty-two students and for chaperones toured the museum that is host to the NASA ...","('nasa', 0.3406)","('smithsonian', 0.3292)","('science', 0.3076)","('poultry', 0.2525)","('birdwatch', 0.2488)"
16,93,13.989311,9.800454,2,93,Assistant Professor of Poultry Science Awarded for Teaching Excellence ...,https://news.uark.edu/articles/63141/assistant-professor-of-poultry-science-awarded-for-teaching-excellence,"Jan. 24, 2023. Photo Submitted. Adnan Alrubaye (middle), assistant professor of poultry science and associate director of the Cell and Molecular Biology Graduate Program, was awarded the Jack G. Justus Award for Teaching Excellence. With him are, left, Jean Francois Meullenet, interim dean of Bumpers College, and Deacue Fields, vice president ...","('nasa', 0.3406)","('smithsonian', 0.3292)","('science', 0.3076)","('poultry', 0.2525)","('birdwatch', 0.2488)"
17,126,14.582494,9.397654,2,126,About Us - Science News Explores,https://www.snexplores.org/about-us,"Science News Explores is an award-winning publication dedicated to providing topical stories on current events in science, technology, engineering and math (STEM) for children ages 9 and up, their parents and educators. Founded in 2003 as Science News for Kids, the digital magazine underwent a major redesign 10 years later, including a name ...","('nasa', 0.3406)","('smithsonian', 0.3292)","('science', 0.3076)","('poultry', 0.2525)","('birdwatch', 0.2488)"
18,1,14.5283985,11.831136,7,1,The science and safety behind popular weight loss drugs,https://www.wtkr.com/news/national/the-science-and-safety-behind-popular-weight-loss-drugs,"Wegovys fat-busting potential became clear in 2022 in a study published in the New England Journal of Medicine. Of the 2,500-plus patients with high body mass indexes, those on the drug lost up to...","('insecticide', 0.4551)","('drug', 0.3169)","('mosquito', 0.2792)","('health', 0.2716)","('hypertension', 0.2617)"
19,10,14.456907,10.563317,7,10,The week in news photos - msn.com,https://www.msn.com/en-ca/news/science/the-week-in-news-photos/vi-AA16Ori9,An editors pick of news photos from around the world this past week. The Canadian Press cbc.ca Like us on Facebook to see similar stories Please give an overall site rating ...,"('insecticide', 0.4551)","('drug', 0.3169)","('mosquito', 0.2792)","('health', 0.2716)","('hypertension', 0.2617)"
20,13,15.130685,10.724134,7,13,Near Death Experience Story: Priests Trip to Hell TikTok Video,https://www.popularmechanics.com/science/health/a42593462/near-death-experience-story-priest-went-to-hell-tiktok/,Researchers—especially those from the International Association for Near-Death Studies —believe NDEs most likely happen due to a change in blood flow to the brain during sudden life-threatening...,"('insecticide', 0.4551)","('drug', 0.3169)","('mosquito', 0.2792)","('health', 0.2716)","('hypertension', 0.2617)"
21,21,14.395448,11.594675,7,21,Science saved me fighting the hulk - Chris Eubank Jr hits back at ...,https://www.thesun.co.uk/sport/21071491/boxing-news-conor-benn-drug-test-eubank-jr/,CHRIS EUBANK JR has claimed he wouldve fought the Hulk had Conor Benn not failed two drug tests. Surging welterweight contender Benn tested positive for the banned anti-estroge…,"('insecticide', 0.4551)","('drug', 0.3169)","('mosquito', 0.2792)","('health', 0.2716)","('hypertension', 0.2617)"
22,26,14.229611,10.812658,7,26,High number of mosquitoes found with mutation that resists insecticides ...,https://www.washingtonpost.com/science/2022/12/21/resistant-mosquitoes-mutations/,"The report, in the journal Science Advances, tells the story of Aedes aegypti, a vector for dengue, yellow fever, chikungunya, Zika and other diseases.The researchers found that in Cambodia and ...","('insecticide', 0.4551)","('drug', 0.3169)","('mosquito', 0.2792)","('health', 0.2716)","('hypertension', 0.2617)"
23,48,14.588201,11.636672,7,48,The science and safety behind popular weight loss drugs,https://www.abcactionnews.com/news/national/the-science-and-safety-behind-popular-weight-loss-drugs,"Todays weight loss drugs pull from the science of diabetes treatments. Those have been proven for years to have fewer and less serious side effects. For example, obesity drug Wegovy and Type 2...","('insecticide', 0.4551)","('drug', 0.3169)","('mosquito', 0.2792)","('health', 0.2716)","('hypertension', 0.2617)"
24,55,14.57029,11.171631,7,55,Создана вакцина против смертельно опасного вируса Марбург,https://lenta.ru/news/2023/01/27/marburg/,Science Translational Medicine: создана вакцина против вируса ChAd3-MARV Марбург. В Национальном институте аллергии и ...,"('insecticide', 0.4551)","('drug', 0.3169)","('mosquito', 0.2792)","('health', 0.2716)","('hypertension', 0.2617)"
25,60,14.671048,11.6290245,7,60,Hypertension Drug Shown to Extend Lifespan And Slow Aging in Animals,https://www.sciencealert.com/hypertension-drug-shown-to-extend-lifespan-and-slow-aging-in-animals,"The hypertension drug rilmenidine has been shown to slow down aging in worms, an effect that in humans could hypothetically help us live longer and keep us healthier in our latter years. Rilmenidine was picked for this latest study because past research has shown it mimics the effects of caloric restriction on a cellular level.","('insecticide', 0.4551)","('drug', 0.3169)","('mosquito', 0.2792)","('health', 0.2716)","('hypertension', 0.2617)"
26,71,14.900878,11.048076,7,71,Heart Disease and Stroke Statistics - 2023 Update,https://professional.heart.org/en/science-news/heart-disease-and-stroke-statistics-2023-update,"Science News Heart Disease and Stroke Statistics - 2023 Update Heart Disease and Stroke Statistics - 2023 Update Published: January 25, 2023 Cardiovascular disease (CVD) remains as the leading cause of death in the United States, accounted for 928,741 deaths in the year 2020.","('insecticide', 0.4551)","('drug', 0.3169)","('mosquito', 0.2792)","('health', 0.2716)","('hypertension', 0.2617)"
27,76,14.717478,11.570925,7,76,The science and safety behind newly popular weight loss drugs,https://scrippsnews.com/stories/the-science-safety-behind-newly-popular-weight-loss-drugs/,"Todays weight loss drugs pull from the science of diabetes treatments. Those have been proven for years to have fewer and less serious side effects. For example, obesity drug Wegovy and Type 2 diabetes drug Ozempic share the same active ingredient called Semaglutide. Semaglutides mimic a hormone the body makes naturally to regulate blood sugar.","('insecticide', 0.4551)","('drug', 0.3169)","('mosquito', 0.2792)","('health', 0.2716)","('hypertension', 0.2617)"
28,109,15.124194,10.877314,7,109,Science | Ars Technica,https://arstechnica.com/science/,Science | Ars Technica Science / Science  Exploration Antibiotic resistance induced by the widespread use of… antidepressants? Bacteria evolve drug resistance more readily when...,"('insecticide', 0.4551)","('drug', 0.3169)","('mosquito', 0.2792)","('health', 0.2716)","('hypertension', 0.2617)"
29,113,14.351463,10.943694,7,113,Natural Health News and Scientific Discoveries - NaturalNews.com,https://www.naturalnews.com/index.html,"(Natural News) The entire world of natural health advocates, who tune in to truth media and independent sources for their nutrition, health, and science news, are well-aware of the short-term dangers and repercussions of the clot shot Covid vaccines, but nobody has seen any long-term health detriment, because its only been two years …","('insecticide', 0.4551)","('drug', 0.3169)","('mosquito', 0.2792)","('health', 0.2716)","('hypertension', 0.2617)"
30,117,14.649815,10.777742,7,117,Healthcare  Science News - CNBC,https://www.cnbc.com/health-and-science/,Healthcare  Science News Watchlist Business News Health and Science Coronavirus Biotech and Pharma Health Insurance Hospitals Science What diabetes is revealing about benefits and risks of...,"('insecticide', 0.4551)","('drug', 0.3169)","('mosquito', 0.2792)","('health', 0.2716)","('hypertension', 0.2617)"
31,2,12.765145,9.102924,4,2,Feds send $930 million to curb crisis of US West wildfires,https://tucson.com/news/science/feds-send-930-million-to-curb-crisis-of-us-west-wildfires/article_0fc5dca2-4974-5dae-b971-136b65d6ac4e.html,"Wildfires in the U.S. scorched some 65,000 square miles and about 85,000 houses and other structures nationwide over the past decade. BILLINGS, Mont. (AP) — The U.S. is directing $930 million ...","('tesla', 0.304)","('technology', 0.2754)","('sustainability', 0.2726)","('environmental', 0.2579)","('billion', 0.2548)"
32,36,11.608793,9.064629,4,36,Domino Data Lab Enhances Partner Program With New Offerings to ...,https://www.prnewswire.com/news-releases/domino-data-lab-enhances-partner-program-with-new-offerings-to-accelerate-data-science-innovation-301731151.html,Domino Data Lab powers model-driven businesses with its leading Enterprise MLOps platform trusted by over 20% of the Fortune 100. Domino accelerates the development and deployment of data science ...,"('tesla', 0.304)","('technology', 0.2754)","('sustainability', 0.2726)","('environmental', 0.2579)","('billion', 0.2548)"
33,38,12.005485,8.113406,4,38,Tesla Announces $3.6 Billion Investment in Nevada for Factories ...,https://www.theepochtimes.com/tesla-announces-3-6-billion-investment-in-nevada-for-factories-promises-3000-new-jobs_5009525.html,"0:00 0:00. 1. Tesla plans to invest more than $3 billion in Nevada to expand its Gigafactory as well as establish two additional factories, with the investment projected to create thousands of ...","('tesla', 0.304)","('technology', 0.2754)","('sustainability', 0.2726)","('environmental', 0.2579)","('billion', 0.2548)"
34,51,11.724755,8.212201,4,51,"Twitter might be replaced, but not by Mastodon or other imitators",https://www.keysnews.com/opinion/columns/twitter-might-be-replaced-but-not-by-mastodon-or-other-imitators/article_a53fff58-9746-11ed-a68c-ab2130edf22f.html,"This is why Elon Musks acquisition of Twitter turned out to be a stroke of luck for Mastodon, a platform that might be described as an open-source, decentralized version of Twitter. In November, people who were disgusted with Musks new moderation policies — or just worried that Twitter would stop working after a 75% reduction in ...","('tesla', 0.304)","('technology', 0.2754)","('sustainability', 0.2726)","('environmental', 0.2579)","('billion', 0.2548)"
35,62,12.575488,8.882824,4,62,Biodiversity - Disappearance of snow and its affects on Earth ...,https://www.telegraphindia.com/science-tech/disappearance-of-snow-and-its-affects-on-earth/cid/1912411,"Lack of snow is bad news for shipping and power supply. For the Rhine, meltwater reserves are crucial for making it through the drier summer and fall months. Melting glaciers and less snow could exacerbate low water levels in the Rhine from Basel to the North Sea, said a study by the International Commission for the Hydrology of the Rhine Basin.","('tesla', 0.304)","('technology', 0.2754)","('sustainability', 0.2726)","('environmental', 0.2579)","('billion', 0.2548)"
36,64,12.5036955,9.359338,4,64,National Grid power outage as hundreds of homes in England and Wales ...,https://www.express.co.uk/news/science/1726991/national-grid-power-outage-hundreds-home-without-supply-electricity,"Hundreds of homes in England and Wales under the National Grids electricity distribution service have been left with no power this morning. Households in Staffordshire, West Midlands, Cornwall,...","('tesla', 0.304)","('technology', 0.2754)","('sustainability', 0.2726)","('environmental', 0.2579)","('billion', 0.2548)"
37,85,11.545218,8.925125,4,85,UChicago to launch accelerator for AI and data science companies,https://www.healthcareitnews.com/news/uchicago-launch-accelerator-ai-and-data-science-companies,"The program, called Transform, will help tech startups with a focus on machine learning, data engineering, analytics, healthcare, biotech, cybersecurity, IoT and more. The University of Chicago this week announced the creation of Transform, an accelerator for early-stage technology companies focused on data science and artificial intelligence.","('tesla', 0.304)","('technology', 0.2754)","('sustainability', 0.2726)","('environmental', 0.2579)","('billion', 0.2548)"
38,89,11.725199,9.238783,4,89,"Dubai lab first in UAE to automatically set temperature, lighting",https://gulfnews.com/uae/science/dubai-lab-first-in-uae-to-automatically-set-temperature-lighting-1.93374290,Dubai: A lab in Dubai can independently calculate and set the optimal room temperature and lighting conditions. The Internet of Things (IoT) lab is located at the Research and Development Centre ...,"('tesla', 0.304)","('technology', 0.2754)","('sustainability', 0.2726)","('environmental', 0.2579)","('billion', 0.2548)"
39,92,12.624356,8.871116,4,92,California Downpours Mean More Water for 27 Million Residents,https://www.bloomberg.com/news/articles/2023-01-26/california-rains-mean-more-water-for-27-million-residents,Weather  Science California Downpours Mean More Water for 27 Million Residents State will boost deliveries to 29 public water agencies Recent storms helped make significant dent in the drought...,"('tesla', 0.304)","('technology', 0.2754)","('sustainability', 0.2726)","('environmental', 0.2579)","('billion', 0.2548)"
40,95,11.908213,9.493097,4,95,Design for Environmental Sustainability in Computing (DESC ...,https://beta.nsf.gov/events/design-environmental-sustainability-computing-desc/2023-01-25,"January 25, 2023 at 2:00pm EST. The National Science Foundation CISE Directorate has issued a new program on Design for Environmental Sustainability in Computing (DESC) ().). The purpose of DESC is to encourage the submission of novel and high impact proposals that advance sustainability in all aspects of computing broadly.","('tesla', 0.304)","('technology', 0.2754)","('sustainability', 0.2726)","('environmental', 0.2579)","('billion', 0.2548)"
